hvCathode_kv,efield_kvcm,pedestalFile,chargeFile,lightFile,goodForAnalysis,sipmBias_v,comments1,comments2,comments3,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_14_38_27_CEST.h5,20210402_143713.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_15_18_31_CEST.h5,20210402_151800.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_16_18_37_CEST.h5,20210402_161803.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_16_58_41_CEST.h5,20210402_165801.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_17_38_45_CEST.h5,20210402_173825.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_18_18_49_CEST.h5,20210402_181802.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_19_57_55_CEST.h5,20210402_195609.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_20_37_59_CEST.h5,20210402_203653.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_21_18_04_CEST.h5,20210402_211722.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_21_58_08_CEST.h5,20210402_215730.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_22_38_12_CEST.h5,20210402_223712.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_23_18_16_CEST.h5,20210402_231744.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_23_58_20_CEST.h5,20210402_235741.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_00_38_25_CEST.h5,20210403_003728.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_01_47_50_CEST.h5,20210403_014334.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_02_32_56_CEST.h5,20210403_022846.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_03_13_00_CEST.h5,20210403_022846.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_03_53_04_CEST.h5,20210403_035221.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_04_33_08_CEST.h5,20210403_043204.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_05_13_12_CEST.h5,20210403_051235.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_05_53_16_CEST.h5,20210403_055231.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_06_33_21_CEST.h5,20210403_063301.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_07_13_25_CEST.h5,20210403_071308.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_07_53_29_CEST.h5,20210403_075312.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_08_33_34_CEST.h5,20210403_083224.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_09_53_42_CEST.h5,20210403_095235.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_10_33_46_CEST.h5,20210403_103239.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_11_13_50_CEST.h5,20210403_111330.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_03_11_53_55_CEST.h5,20210403_115328.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_19_15_42_CEST.h5,raw_2021_04_03_12_34_00_CEST.h5,20210403_123332.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_19_15_42_CEST.h5,raw_2021_04_03_13_14_04_CEST.h5,20210403_131334.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_19_15_42_CEST.h5,raw_2021_04_03_13_54_08_CEST.h5,20210403_135349.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,this is very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_19_15_42_CEST.h5,raw_2021_04_03_14_34_12_CEST.h5,20210403_143320.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,this is very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_19_15_42_CEST.h5,raw_2021_04_03_15_14_16_CEST.h5,20210403_151328.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,this is very good for anal ysis (full time overlap),,
15.099,0.500,raw_2021_04_03_19_15_42_CEST.h5,raw_2021_04_03_15_54_20_CEST.h5,20210403_155322.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,this is very good for anal ysis (full time overlap),,
15.099,0.500,raw_2021_04_03_19_15_42_CEST.h5,raw_2021_04_03_16_34_25_CEST.h5,20210403_163309.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,,,
15.099,0.500,raw_2021_04_03_19_15_42_CEST.h5,raw_2021_04_04_00_41_40_CEST.h5,20210404_004206.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),stopped after ~4 min. since there were some issues with the charge readout,,
15.099,0.500,raw_2021_04_03_19_15_42_CEST.h5,raw_2021_04_04_01_19_19_CEST.h5,20210404_011737.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,
15.099,0.500,raw_2021_04_03_19_15_42_CEST.h5,raw_2021_04_04_01_59_23_CEST.h5,20210404_015900.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~12 kHz rate
15.099,0.500,raw_2021_04_03_19_15_42_CEST.h5,raw_2021_04_04_02_19_26_CEST.h5,20210404_021937.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~14 kHz rate
15.099,0.500,raw_2021_04_03_19_15_42_CEST.h5,raw_2021_04_04_02_39_28_CEST.h5,20210404_023931.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~12 kHz rate
15.099,0.500,raw_2021_04_04_09_31_43_CEST.h5,raw_2021_04_04_02_59_30_CEST.h5,20210404_025941.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~14 kHz rate
15.099,0.500,raw_2021_04_04_09_31_43_CEST.h5,raw_2021_04_04_03_19_32_CEST.h5,20210404_031934.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~14 kHz rate
15.099,0.500,raw_2021_04_04_09_31_43_CEST.h5,raw_2021_04_04_03_39_34_CEST.h5,20210404_033938.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~12 kHz rate
15.099,0.500,raw_2021_04_04_09_31_43_CEST.h5,raw_2021_04_04_03_59_36_CEST.h5,20210404_035938.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~12 kHz rate
15.099,0.500,raw_2021_04_04_09_31_43_CEST.h5,raw_2021_04_04_09_38_27_CEST.h5,20210404_093828.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~14 kHz rate
15.099,0.500,raw_2021_04_04_09_31_43_CEST.h5,raw_2021_04_04_09_58_31_CEST.h5,20210404_095833.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~14 kHz rate
15.099,0.500,raw_2021_04_04_09_31_43_CEST.h5,raw_2021_04_04_10_18_34_CEST.h5,20210404_101833.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~12 kHz rate
15.099,0.500,raw_2021_04_04_09_31_43_CEST.h5,raw_2021_04_04_10_38_37_CEST.h5,20210404_103840.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~14 kHz rate
15.099,0.500,raw_2021_04_04_09_31_43_CEST.h5,raw_2021_04_04_10_58_39_CEST.h5,20210404_105839.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~12 kHz rate
15.099,0.500,raw_2021_04_04_09_31_43_CEST.h5,raw_2021_04_04_11_18_41_CEST.h5,20210404_111841.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~12 kHz rate
15.099,0.500,raw_2021_04_04_09_31_43_CEST.h5,raw_2021_04_04_11_38_43_CEST.h5,20210404_113847.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~12 kHz rate
15.099,0.500,raw_2021_04_04_09_31_43_CEST.h5,raw_2021_04_04_11_58_46_CEST.h5,20210404_115845.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~12kHz rate
15.099,0.500,raw_2021_04_04_09_31_43_CEST.h5,raw_2021_04_04_12_18_48_CEST.h5,20210404_121849.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~14kHz rate
15.099,0.500,raw_2021_04_04_09_31_43_CEST.h5,raw_2021_04_04_12_38_50_CEST.h5,20210404_123850.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~17kHz rate
15.099,0.500,raw_2021_04_04_09_31_43_CEST.h5,raw_2021_04_04_12_58_52_CEST.h5,20210404_125851.data,***,40+ind,Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). SiPMs with individually set bias (equal gains),good for analysis (no time overlap. but started run at about the same time as the charge run rolled over),,~12kHz rate
